Age,Income,SpendingScore,MembershipYears,VisitsPerMonth,Category,Region
23,45000,65,2,4,Premium,Norte
45,78000,35,5,2,Standard,Sur
32,52000,72,1,5,Premium,Este
54,95000,28,8,1,Standard,Oeste
28,38000,88,1,8,Premium,Norte
40,68000,42,4,3,Standard,Sur
25,42000,75,2,6,Premium,Este
50,88000,30,7,2,Standard,Oeste
35,55000,68,3,4,Premium,Norte
48,82000,38,6,2,Standard,Sur
30,48000,82,2,7,Premium,Este
55,98000,25,9,1,Standard,Oeste
26,40000,78,1,6,Premium,Norte
42,72000,40,5,3,Standard,Sur
34,58000,70,3,5,Premium,Este
52,92000,32,8,2,Standard,Oeste
29,46000,80,2,7,Premium,Norte
44,76000,36,5,2,Standard,Sur
33,54000,74,3,5,Premium,Este
53,96000,26,9,1,Standard,Oeste
27,44000,76,1,6,Premium,Norte
41,70000,44,4,3,Standard,Sur
36,60000,66,3,4,Premium,Este
51,90000,34,7,2,Standard,Oeste
31,50000,84,2,8,Premium,Norte
46,80000,32,6,2,Standard,Sur
38,62000,62,4,4,Premium,Este
49,86000,36,6,2,Standard,Oeste
24,41000,70,1,5,Premium,Norte
43,74000,38,5,3,Standard,Sur
37,61000,64,3,4,Premium,Este
47,84000,34,6,2,Standard,Oeste
22,39000,82,1,7,Premium,Norte
39,66000,46,4,3,Standard,Sur
28,47000,77,2,6,Premium,Este
56,99000,24,10,1,Standard,Oeste
21,37000,85,1,8,Premium,Norte
44,75000,39,5,2,Standard,Sur
33,56000,71,3,5,Premium,Este
50,89000,31,7,2,Standard,Oeste
26,43000,79,1,6,Premium,Norte
45,77000,37,5,2,Standard,Sur
35,59000,69,3,4,Premium,Este
54,94000,27,8,1,Standard,Oeste
29,45000,81,2,7,Premium,Norte
41,71000,43,4,3,Standard,Sur
32,53000,73,2,5,Premium,Este
52,91000,33,8,2,Standard,Oeste
